,Song,Artist,Genre,Lyrics
10,Livin’ the Dream,Morgan Wallen,Country,"Mama don't pray for my success anymore, yeah But mama still prays for me Seein' the world ain't really seein' the world Through a window from A to B Between alcohol and women and Adderall and adrenaline I don't ever get no rest Signed my life away to be the life of the party Yeah, to everybody else  I look like a rockstar, in and out of cop cars Livin' out a suitcase, trashin' hotel bars If I see the sunrise, it's 'cause I stayed up all night Drinkin' 'cause I need to, damn it, what a good life Judgin' by my long hair, you might think I don't care Sittin' here, sippin' and bitchin' about a spot where Peoplе would kill to be, kill to be, kill to be But y'all, it ain't as good as it seems, this livin' thе dream is Killin' me, killin' me, killin' me It's killin' me, killin' me, killin' me  Another day, another venue There's trouble to get into And love ain't on the menu again Lonely as an eagle I meet a thousand people Who think I got a thousand friends Ooh There's a stranger in the mirror Ooh But accordin' to the pictures  I'm a rockstar, in and out of cop cars Livin' out a suitcase, trashin' hotel bars If I see the sunrise, it's 'cause I stayed up all night Drinkin' 'cause I need to, damn it, what a good life Judgin' by my long hair, you might think I don't care Sittin' here, sippin' and bitchin' about a spot where People would kill to be, kill to be, kill to be But y'all, it ain't as good as it seems, this livin' the dream is Killin' me, killin' me, killin' me It's killin' me, killin' me, killin' me Killin' me, killin' me, killin' me  Ooh There's a stranger in the mirror Ooh But accordin' to the pictures  I'm a rockstar, in and out of cop cars Livin' out a suitcase, trashin' hotel bars If I see the sunrise, it's 'cause I stayed up all night Drinkin' 'cause I need to, damn it, what a good life Judgin' by my long hair, you might think I don't care Sittin' here, sippin' and bitchin' about a spot where People would kill to be, kill to be, kill to be But y'all, it ain't as good as it seems, this livin' the dream is Killin' me, killin' me, killin' me It's killin' me, killin' me, killin' me Killin' me, killin' me, killin' meEmbedShare URLCopyEmbedCopy"
11,Sand in My Boots,Morgan Wallen,Country,"She asked me where I was from I said ""Somewhere you never been to"" Little town outside of Knoxville Hidden by some dogwood trees She tried talkin' with my accent We held hands and waded into That blue water She left her flip-flops by my Red Wings on the beach  Yeah but, now I'm dodging potholes in my sunburnt Silverado Like a heart-broke Desperado, headin' right back to my roots Somethin' 'bout the way she kissed mе tells me she'd lovе Eastern Tennessee Yeah, but all I brought back with me was some sand in my boots  I said ""Let's go shoot tequila"" So we walked back to that beach bar She said ""Don't cowboys drink whiskey?"" (huh) So we drank bottom shelf She said ""Damn, that sky looks perfect"" I said ""Girl, you've never seen stars like the ones back home"" And she said ""Maybe I should, see 'em for myself""  Yeah, but now I'm dodging potholes in my sunburnt Silverado Like a heart-broke Desperado, headin' right back to my roots Somethin' 'bout the way she kissed me tells me she'd love Eastern Tennessee Yeah, but all I brought back with me was some sand in my boots I said meet me in the mornin' And she told me I was crazy Yeah, but I still thought that maybe she'd show up  Oh, but now I'm dodging potholes in my sunburnt Silverado Like a heart-broke Desperado, headin' right back to my roots Somethin' 'bout the way she kissed me tells me she'd love Eastern Tennessee Yeah, but all I brought back with me was some sand in my boots Yeah, but all I brought back with me was some sand in my boots7EmbedShare URLCopyEmbedCopy"
12,Warning,Morgan Wallen,Country,"That neon sign Hangin' outside that bar Should've said, ""Go home If you know what's good for your heart"" When she sat down In that ADPi t-shirt Should've said, ""Watch out Or boy you're gonna wind up hurt"" And that label on that whiskey on that shelf Should've said, ""Don't buy no shots for no one else""  Should've come with a warnin' (Ooh) Don't sit right there, don't sip on what they're pourin' (You) Her kiss is gonna kill you in the mornin' Nah, it ain't gonna end too good Everythin' about that night I thought I wanted Should've come with a warnin' (Ooh, ooh-ooh, ooh) Should've come with a warnin'  Phone just lit up And it's damn near 2 AM Oughta be blue lights, or some kind of loud sirens Sayin', ""Don't pick it up, she'll let you down"" It's the deep end and you're gonna drown And this ""You up?"" text that she sent me right now Should've come with a warnin' (Ooh) Don't sit right there, don't sip on what they're pourin' (You) Her kiss is gonna kill you in the mornin' Nah, it ain't gonna end too good Everything about that night I thought I wanted Should've come with a warnin' (Ooh, ooh-ooh, ooh) Should've come with a warnin'  Don't fire it up, and hit the headlights Turn on around at the next red light I wish somebody would've gave me some damn signs Yeah, I wish that night  Would've come with a warnin' (Ooh, ooh-ooh, ooh) Would've come with a warnin' Would've come with a warnin' (Ooh, ooh-ooh, ooh) Would've come with a warnin'7EmbedShare URLCopyEmbedCopy"
13,More Than My Hometown,Morgan Wallen,Country,"Girl, our mamas are best friends and so are we The whole town's rooting for us like the home team Most likely to settle down Plant a few roots real deep and let 'em grow But we can't stop this real world from spinnin' us Your bright lights called, I don't blame you for pickin' up Your big dream bags are all packed up and ready to go But I just need you to know  That I love you more than a California sunset More than a beer when you ain't twenty-one yet More than a Sunday morning Lord Turnin' some poor lost souls 'round, and Hallelujah bound Yeah, I love you more than the feeling when the bass hits the hook When the guy gets the girl at the end of the book But, baby, this might be the last time I get to lay you down 'Cause I can't love you more than my hometown  I ain't the runaway kind, I can't change that My heart's stuck in these streets like the train tracks City sky ain't the same black Ain't that a map dot shame, man, to think that I love you more than a California sunset More than a beer when you ain't twenty-one yet More than a Sunday morning Lord Turnin' some poor lost souls around, and Hallelujah bound Yeah, I love you more than the feeling when the bass hits the hook When the guy gets the girl at the end of the book But, baby, this might be the last time I get to lay you down 'Cause I can't love you more than my hometown  Yeah, you got a wild in your eyes that I just wasn't born with I'm a same gas station cup of coffee in the mornin' I need a house on the hill, girl, not in 'em So hang onto these words 'til them avenues help you forget 'em  'Cause I love you more than a California sunset I love you more in a twenty-dollar sundress Hate that loaded down car you got your keys in Girl, but I hate even more that you're leavin' 'Cause I love you more than the feeling when the bass hits the hook When the guy gets the girl at the end of the book But that ain't you and me so I guess I'll see you around 'Cause I can't love you more than my hometown Love you more than my hometown Love you more than my hometown Love you more, baby, love you more2EmbedShare URLCopyEmbedCopy"
14,865,Morgan Wallen,Country,"Jack D, there's a seven on the label One glass on the living room table Phone face down, Church up loud Was tryna drown you out tonight But first sip, I could feel you on my shoulder The Tennessee heat had me feelin' colder Thought a drink would get you off my mind  But this bottle tastes like 865-409-1021 Yeah, one last time, don't think twice Girl, just pick it up and come over Give the bedroom door a little closure I know I told you I wouldn't call and I tried But this bottle tastes like 865 (409-1021) This bottle tastes like 865 (409-1021)  You might think I don't really want you with me You might tell me to empty out my whiskey Or try changin' what I'm holdin' in my hand Try another liquor, try another brand But it don't matter if I got my lips on a different drink on a different night Yeah, the second that I take a sip all I'm gonna think Is this bottle tastes like 865-409-1021 Yeah, one last time, don't think twice Girl, just pick it up and come over Give the bedroom door a little closure I know I told you I wouldn't call and I tried But this bottle tastes like 865 (409-1021) This bottle tastes like 865 (409-1021)  Thought a drink would get you off my mind I ain't sayin' I love you, but I might  'Cause this bottle tastes like 865-409-1021 Yeah, one last time, don't think twice Girl, just pick it up and come over Give the bedroom door a little closure I know I told you I wouldn't call and I tried But this bottle tastes like 865 (409-1021) This bottle tastes like 865 (409-1021) This bottle tastes like 865 (409-1021) This bottle tastes like 865 (409-1021)2EmbedShare URLCopyEmbedCopy"
15,Dangerous,Morgan Wallen,Country,"I could see me sittin' in the back of a cop car bangin' my head on a window I could see me slammin' that last call shot glass, losin' everything in my billfold Ooh, ooh That's what I do when I'm drinkin' 'bout you  So, I don't wanna go downtown doin' what we used to Twist the top off another round, hell I got enough loose screws I’m gettin' tired of hurtin' 'bout you Nothin' ever changes I think I'm gonna stay right here tonight 'Cause that could be dangerous 'Cause that could be dangerous  Yeah, I could see me doin' just fine with a Daisy Duke dime but I don't see it lastin' long I could see me orderin' too many drinks at the bar Get the bartender pourin' 'em strong That's what I do when I'm tryna drink you gone  So, I don't wanna go downtown doin' what we used to Twist the top off another round, hell I got enough loose screws I’m gettin' tired of hurting 'bout you Nothin' ever changes I think I'm gonna stay right here tonight 'Cause that could be dangerous 'Cause that could be dangerous Yeah, 'cause you Got somebody else that you've been foolin' Them same tricks up your sleeve, yeah Ooh I'd usually be the type to be out too But you ruined that for me, so  I don't wanna go downtown doin' what we used to Twist the top off another round, hell I got enough loose screws I’m gettin' tired of hurting' 'bout you Nothin' ever changes I think I'm gonna stay right here tonight 'Cause that could be dangerous That could be dangerous Dangerous That could be dangerous1EmbedShare URLCopyEmbedCopy"
16,Bandaid on a Bullet Hole,Morgan Wallen,Country,"Girl, since you left me Been tryin' to forget we Ever became what we were And I poured some whiskey On places you kissed me Tried to wash off all the hurt But ain't nothin' workin' I've lived out the words in A thousand old sad country songs But whenever I try to move on  It's like tryna put a bandaid on a bullet hole Tryna tell a cowboy to slow down It's like watchin' the way that the river rolls And then tellin' it to turn back around And I've held some strangers, told people I hatе you But I just keep hittin' a wall It's like tryna put a bandaid on a bullet hole It just don't do mе no good at all  If I was only Heart broke and lonely I'd head on back down to the bar Find me a companion But you left a canyon Can't nobody fill in this heart And girl, it's like tryna put a bandaid on a bullet hole Tryna tell a cowboy to slow down It's like watchin' the way that the river rolls And then tellin' it to turn back around And I've held some strangers told people I hate you But I just keep hittin' a wall It's like tryna put a bandaid on a bullet hole It just don't do me no good at all No damn good, damn good, damn good at all  And baby tell me how you did it? I just gotta know And tell me what's your secret? And how'd you let me go so easy?  'Cause girl, it's like tryna put a bandaid on a bullet hole Tryna tell a cowboy to slow down It's like watchin' the way that the river rolls And then tellin' it to turn back around Oh, I've held some strangers told people I hate you But I just keep hittin' a wall It's like tryna put a bandaid on a bullet hole It just don't do me no good at all It's like tryna to put a bandaid on a bullet hole It just don't do me no good at all No damn good, damn good, damn good at all4EmbedShare URLCopyEmbedCopy"
17,If I Know Me,Morgan Wallen,Country,"You say you need a couple credits 'fore they'll let you out of college I bet you bought that beer with your Daddy's card You're looking like you probably get a little tired of all this Attention that you're getting when you go to the bar  We can take a different route I know you're from a different town But you're here for now So whatcha say we get on out and see where this night leads?  If I know me, I'll have you hopping up in my passenger seat Bet I take you home and you ain't gonna wanna leave Make a little love at a quarter past three Gotta keep it down 'cause your roommate's home Honey, when the sun come peeking through the trees You ain't gotta worry 'bout what it might be 'Cause I bet it won't be the last time you're waking up next to me If I know me, if I know me (Woah, woah)  This ain't some routine that I use every Friday This ain't a one line, one night kiss and tell But ever since I caught you looking over my way All that I could do was tell myself If I know me, I'll have you hopping up in my passenger seat Bet I take you home and you ain't gonna wanna leave Make a little love at a quarter past three Gotta keep it down 'cause your roommate's home Honey, when the sun come peeking through the trees You ain't gotta worry 'bout what it might be 'Cause I bet it won't be the last time you're waking up next to me If I know me (Woah, woah)  (Ooh, ooh) And I could just change my mind And leave my number in your phone (Ooh, ooh) And give you a kiss goodnight And go home alone  But if I know me, I'll have you hopping up in my passenger seat Bet I take you home and you ain't gonna wanna leave Make a little love at a quarter past three Gotta keep it down 'cause your roommate's home Honey, when the sun come peeking through the trees You ain't gotta worry 'bout what it might be 'Cause I bet it won't be the last time you're waking up next to me 'Cause I know me1EmbedShare URLCopyEmbedCopy"
18,Not Good At Not,Morgan Wallen,Country,"Maybe it's your bad girl, underneath that sweet smile Like a peek of black lace that nobody but me sees Just a trace of all the possibilities Maybe it's the quarter moon, maybe it's the quart of wine That we haven't even touched yet, baby don't need it Everything you're doing, girl is my weakness  I'm not good at not kissin' again When you're leanin' it on in a little closer I'm not good at not getting sidetracked When your tank top strap's slippin' off of your shoulder Oh-oh, girl, I try to be, but I ain't that tough I'm not good at not fallin' in love, fallin' in love, fallin' in love  You know what you're doin' girl You know what it does to me When you turn on that song, and turn the lights down Baby I'm gone, before the part about you Dancin' in slow motion with my hands on your hips Now you got me going right where I can't resist  I'm not good at not kissin' again When you're leanin' it on in a little closer I'm not good at not getting sidetracked When your tank top strap's slipping off of your shoulder Oh-oh girl, I try to be, but I ain't that tough I'm not good at not fallin' in love, fallin' in love, fallin' in love Can't tell you no Can't say goodbye Can't hold a little bit back even if I tried 'Cause when I look in your eyes  I'm not good at not kissin' again When you're leanin' it on in a little closer I'm not good at not getting sidetracked When your tank top strap's slipping off of your shoulder Girl, I try to be, but I ain't that tough I'm not good at not fallin' in love, fallin' in love, fallin' in loveEmbedShare URLCopyEmbedCopy"
19,Neon Eyes,Morgan Wallen,Country,"They started out blue like an East Tennessee June sky Full of small-town innocence Guarded by a picket fence Perfect 'til I drove by You were lookin' for a way out and I was on my way Girl, once you love a cowboy, you'll never be the same I know right now you think this is it But I'm gonna leave you with  Neon eyes Dollar-in-a-jukebox heartache Drinkin' off a dive bar highway Thick smoke soaked up in tequila Told you I'd leave you with neon eyes Dancin' with a ghost on thе dance floor Never rеally gettin' what you came for Lonely lips sippin' on a margarita Girl, I'd hate to see you with neon eyes  Right now, they're glowin' like the cigarette we just sparked Aw, but I've seen this scene before Like the lights on a liquor store Pretty soon, they'll go dark I know you're tired of all the same shit That's why you think you want this I can show you first-hand, girl, what you wish you'da missed But if you won't take it from me I guess you're gonna have to see through Neon eyes Dollar-in-a-jukebox heartache Drinkin' off a dive bar highway Thick smoke soaked up in tequila Told you I'd leave you with neon eyes Dancin' with a ghost on the dance floor Never really gettin' what you came for Lonely lips sippin' on a margarita Girl, I'd hate to see you with neon eyes Neon eyes  I don't wanna be the one to say I told you so Just let me push you away before you get too close I can't go and make up your mind And I don't wanna be the reason behind those  Neon eyes Dollar-in-a-jukebox heartache Drinkin' off a dive bar highway Thick smoke soaked up in tequila Told you I'd leave you with neon eyes Dancin' with a ghost on the dance floor Never really gettin' what you came for Lonely lips sippin' on a margarita Girl, I'd hate to see you with neon eyes Neon eyes Neon eyes1EmbedShare URLCopyEmbedCopy"
20,You Proof,Morgan Wallen,Country,"Put em up till they shut em down You never ain't not around, yeah Don't matter what time, what town, I can't get you gone Turn a party upside down, just looking for something that does it I'll give them all my money Ain't nobody selling nothing ""you proof"" Something stronger than I'm used to I’ve been pouring 90 to 100 feelin’ like nothings gonna cut it that’s the hard truth I need something ""you proof,"" I need something ""you proof"" I've been mixing liquors trying to get you gone But I guess I must be doing something wrong 'Cause I've been working hard to fade your memory But the only thing faded is me I need something ""you proof,"" something stronger than I'm used to I’ve been pouring 90 to 100 feelin’ like nothings gonna cut it that’s the hard truth I need something ""you proof,"" I need something ""you proof""2EmbedShare URLCopyEmbedCopy"
21,Talkin’ Tennessee,Morgan Wallen,Country,"You say those city boys living in those high rise condos Only left you feeling low Those little smoke glass fancy cars sure go fast But never got you where you wanted to go All I've ever owned is an old Chevy truck Cuddled up, get you falling in love on the bench seat  Don't mind me, I'm just talking Tennessee Girl don't blame me if I slip and call you baby That's just my way of letting the lady know she's working on me There I go letting my South side show Whiskey whispering those little sweet nothing southernisms Jack and seven sipping, hoping that you're digging on me Talking Tennessee  You say the street lights only ever let you see the skyline It's been a long time Since the Milky Way, Jupiter, and Venus took your breath away Yeah like you're taking mine What you say we grab some tailgate underneath the stars Catch a few fireflies in a moonshine jar  Don't mind me, I'm just talking Tennessee Girl don't blame me if I slip and call you baby That's just my way of letting the lady know she's working on me There I go letting my South side show Whiskey whispering those little sweet nothing southernisms Jack and seven sipping, hoping that you're digging on me Talking Tennessee There I go letting my South side show Whiskey whispering those little sweet nothing southernisms Jack and seven sipping, hoping that you're digging on me Talking Tennessee  Talking Tennessee Talking Tennessee1EmbedShare URLCopyEmbedCopy"
